表格 1
Sheung Shui,,,,,,
,2023,12,1,17.8,,
,2023,12,2,16.2,,
,2023,12,3,18.7,,
,2023,12,4,19.4,,
,2023,12,5,18.1,,
,2023,12,6,18.6,,
,2023,12,7,14.4,,
,2023,12,8,13.2,,
,2023,12,9,20.0,,
,2023,12,10,21.2,,
,2023,12,11,21.2,,
,2023,12,12,20.0,,
,2023,12,13,20.7,,
,2023,12,14,21.2,,
,2023,12,15,22.1,,
,2023,12,16,10.7,,
,2023,12,17,8.6,,
,2023,12,18,11.3,,
,2023,12,19,12.1,,
,2023,12,20,7.7,,
,2023,12,21,7.7,,
,2023,12,22,6.5,,
,2023,12,23,8.4,,
,2023,12,24,7.7,,
,2023,12,25,9.0,,
,2023,12,26,8.2,,
,2023,12,27,13.2,,
,2023,12,28,16.8,,
,2023,12,29,15.1,,
,2023,12,30,14.7,,
,2023,12,31,16.1,,
King’s Park,,,,,,
,2023,12,1,18.6,,
,2023,12,2,17.3,,
,2023,12,3,19.4,,
,2023,12,4,19.8,,
,2023,12,5,18.9,,
,2023,12,6,18.9,,
,2023,12,7,17.8,,
,2023,12,8,17.9,,
,2023,12,9,20.6,,
,2023,12,10,21.6,,
,2023,12,11,21.6,,
,2023,12,12,21.6,,
,2023,12,13,20.8,,
,2023,12,14,21.1,,
,2023,12,15,22.5,,
,2023,12,16,12.3,,
,2023,12,17,10.3,,
,2023,12,18,14.1,,
,2023,12,19,13.8,,
,2023,12,20,9.5,,
,2023,12,21,9.1,,
,2023,12,22,7.7,,
,2023,12,23,7.0,,
,2023,12,24,9.1,,
,2023,12,25,10.8,,
,2023,12,26,13.3,,
,2023,12,27,16.1,,
,2023,12,28,17.1,,
,2023,12,29,17.3,,
,2023,12,30,17.3,,
,2023,12,31,18.1,,
